Item,Level,Slot,Attack,Defense,Crit,Crit Res,Add Dmg,Def Pen,Bal,Att Spd,Dest,HP,Stam,Effect,STR,AGI,INT,WIL
Rare Uaithne Weapon,120,Weapon,36900,,128,,4150,,67,47,,,,,110,60,148,80
Red Kitty Necklace,100,Necklace,,50,,,,,,,,100,,,,,,
Red Moon Brooch,100,Brooch,,50,1,,,,,2,,,,,,,,
Roots of Abundance,125,Earrings,,,15,,,,,,,,4,,125,50,167,58
Sanctuary Earrings,115,Earrings,,,7,,,,,,,,,,,,,
Seraphic Feathers Brooch,105,Brooch,,100,2,,,,,2,,,,,,,,
Shrouded Moonlight,115,"Ring 1, Ring 2",,,6,,,,5,,,125,,,,,,
Shrouded Shadow,115,"Ring 1, Ring 2",,,6,,,,5,,,125,,,,,,
Starlight Belt,125,Belt,,,,,,,16,,,,,,145,95,193,105
Succubus Fang,1,Artifact,,,,,,,,,,,,"Restores 10% of your Att as HP, 20s duration, 180s cooldown",,,,
Superior Eriu Gauntlets,125,Hands,,5578,,39,1035,,,,,500,,,225,113,304,100
Superior Eriu Greaves,125,Legs,,5643,,61,1035,,,,,500,,,225,113,304,100
Superior Eriu Helm,125,Head,,5578,,39,1035,,,,,500,,,180,90,243,80
Superior Eriu Mail,125,Chest,,5914,,53,1035,,,,,500,,,225,113,304,100
Superior Eriu Weapon,125,Weapon,41150,,139,,4700,,78,47,,,,,110,60,148,80
Superior Uaithne Boots,120,Feet,,4668,,33,840,,,,,500,,,225,113,304,100
Superior Uaithne Gauntlets,120,Hands,,4668,,33,840,,,,,500,,,225,113,304,100
Superior Uaithne Greaves,120,Legs,,4623,,52,840,,,,,500,,,225,113,304,100
Superior Uaithne Helm,120,Head,,4668,,33,840,,,,,500,,,180,90,243,80
Superior Uaithne Mail,120,Chest,,4838,,44,840,,,,,500,,,225,113,304,100
Superior Uaithne Weapon,120,Weapon,36400,,128,,4050,,67,47,,,,,110,60,148,80
The Book of Ardri,110,Totem,610,2290,5,12,,,,3,,,,,,,,
The Book of Legacy,95,Totem,,40,3,2,,,,,,,,,60,,80,
The Book of Orna,115,Totem,1010,2690,7,14,,,,3,,,,,,,,
The Book of Uaithne,120,Totem,1410,3090,10,17,,,,3,,,,,,,,
The Cursed Belt,120,Belt,,,,,,,12,,,,,,145,95,193,105
The Sun's Wish,120,Earrings,,,11,,,,,,,,4,,125,50,167,58
The Watcher's Complete Mysterious Cat Statue,120,Artifact,1000,,,,,,5,,300,,,"Restores 320sp, 70s cooldown",,,,
The Watcher's Complete Succubus Fang,120,Artifact,1000,,,,,,5,,300,,,"Restores 15% of your Att as HP, 20s duration, 180s cooldown",,,,
The Watcher's Complete War Goddess Statue,120,Artifact,1000,,,,,,5,,300,,,"Add Dmg +1000, 20s duration, 70s cooldown",,,,
The Watcher's Complete Werewolf Paw,120,Artifact,1000,,,,,,5,,300,,,"Increases Att Spd by 22% when used, 30s duration, 120s cooldown",,,,
The Watcher's Glowing Mysterious Cat Statue,120,Artifact,1000,,,,,,3,,150,,,"Restores 320sp, 70s cooldown",,,,
The Watcher's Glowing Succubus Fang,120,Artifact,1000,,,,,,3,,150,,,"Restores 15% of your Att as HP, 20s duration, 180s cooldown",,,,
The Watcher's Mysterious Cat Statue,120,Artifact,500,,,,,,3,,,,,"Restores 320sp, 70s cooldown",,,,
The Watcher's Rusty Mysterious Cat Statue,120,Artifact,500,,,,,,1,,,,,"Restores 320sp, 70s cooldown",,,,
The Watcher's Rusty Succubus Fang,120,Artifact,500,,,,,,1,,,,,"Restores 15% of your Att as HP, 20s duration, 180s cooldown",,,,
The Watcher's Rusty War Goddess Statue,120,Artifact,500,,,,,,1,,,,,"Add Dmg +1000, 20s duration, 70s cooldown",,,,
The Watcher's Rusty Werewolf Paw,120,Artifact,500,,,,,,1,,,,,"Increases Att Spd by 22% when used, 30s duration, 120s cooldown",,,,
The Watcher's Shining War Goddess Statue,120,Artifact,1000,,,,,,3,,150,,,"Add Dmg +1000, 20s duration, 70s cooldown",,,,
The Watcher's Shining Werewolf Paw,120,Artifact,1000,,,,,,3,,150,,,"Increases Att Spd by 22% when used, 30s duration, 120s cooldown",,,,
The Watcher's Succubus Fang,120,Artifact,500,,,,,,3,,,,,"Restores 15% of your Att as HP, 20s duration, 180s cooldown",,,,
The Watcher's War Goddess Statue,120,Artifact,500,,,,,,3,,,,,"Add Dmg +1000, 20s duration, 70s cooldown",,,,
The Watcher's Werewolf Paw,120,Artifact,500,,,,,,3,,,,,"Increases Att Spd by 22% when used, 30s duration, 120s cooldown",,,,
Token of Quiet,120,"Ring 1, Ring 2",,,8,,,,6,,,125,,,140,70,180,80
Token of Silence,120,"Ring 1, Ring 2",,,6,,,,8,,,125,,,140,70,180,80
Uaithne Boots,120,Feet,,4338,,33,750,,,,,500,,,225,113,304,100
Uaithne Gauntlets,120,Hands,,4338,,33,750,,,,,500,,,225,113,304,100
Uaithne Greaves,120,Legs,,4293,,52,750,,,,,500,,,225,113,304,100
Uaithne Helm,120,Head,,4338,,33,750,,,,,500,,,180,90,243,80
Uaithne Mail,120,Chest,,4508,,44,750,,,,,500,,,225,113,304,100
Uaithne Weapon,120,Weapon,34900,,128,,3750,,67,47,,,,,110,60,148,80
Usurper's Complete Rhod Compass,110,Rhod,1000,,5,,,,,,300,,,,,,,
Usurper's Rhod Compass,110,Rhod,500,,3,,,,,,,,,,,,,
Usurper's Rusty Rhod Compass,110,Rhod,500,,1,,,,,,,,,,,,,
Usurper's Shiny Rhod Compass,110,Rhod,500,,3,,,,,,150,,,,,,,
War Goddess Statue,1,Artifact,,,,,,,,,,,,"Increases ATT and M. ATT by 1,000 when used, 30s duration, 300s cooldown",,,,
Werewolf Paw,1,Artifact,,,,,,,,,,,,"Increases Att Spd by 20% when used, 20s duration, 120s cooldown",,,,
White Kitty Brooch,70,Brooch,,,,,,,,2,,,,,,,,
White Kitty Necklace,60,Necklace,,50,,,,,,,,,,,,,,
Yoke of Mortality,125,"Ring 1, Ring 2",,,8,,,,9,,,125,,,140,70,180,80
