Raid,Item
Sreng,Uaithne Fragment: Weapon
Sreng,Uaithne Fragment: Head Armor
Sreng,Keen Uaithne Crystal
Sreng,Solid Uaithne Crystal
Sreng,Fighting Spirit Enchant Scroll
RAR,AP 30 Capsule (Gift)
RAR,Enhancement Elixir
RAR,Mysterious Glass Bottle (Lv. 40)
RAR,Mysterious Glass Bottle (Lv. 60)
RAR,Mysterious Glass Bottle (Lv. 80)
RAR,Mysterious Glass Bottle (Lv. 100)
RAR,Mysterious Glass Bottle (Lv. 110)
RAR,Mysterious Glass Bottle (Lv. 120)
RME Hero,New Era Remnant
RME Hero,New Era Stone
RME Hero,Enhanced New Era Leather
RME Hero,Enhanced New Era Cloth
RME Hero,Enhanced New Era Orb
RME Hero,Enhanced New Era Ore
RME Hero,Waking Stone: Cooldown (5 sec)
RME Hero,Waking Stone: Efficient SP (70)
RME Hero,Waking Stone: Efficient Stamina (5)
RME Hero,Waking Stone: Damage Boost (10%)
RME Hero,Waking Stone: Knockdown Rate (10%)
RME Hero,Waking Stone: Major Cooldown (22 sec)
RME Hero,Waking Stone: Cooldown (4 sec)
RME Hero,Waking Stone: Efficient SP (60)
RME Hero,Waking Stone: Efficient Stamina (4)
RME Hero,Waking Stone: Damage Boost (8%)
RME Hero,Waking Stone: Knockdown Rate (8%)
RME Hero,Waking Stone: Major Cooldown (20 sec)
RME Hero,Life Erg Crystal
RME Hero,Magic Powder
RME Hero,Blessed Magic Powder
RME Hero,Superior Enhancement Elixir
RME Hero,Ancient Spirit Magic Powder
Bres,Bres's Moonlight Essence
Bres,Bres's Shadow Essence
Bres,Orna's Essence: Hand Armor
Bres,Orna's Essence: Feet Armor
Bres,Solid Succession Ore
Bres,Smooth Succession Ore
Bres,Stylish Enchant Scroll
Bres,Praise Enchant Scroll
Jarnir,Jarnir's Essence
Jarnir,Orna's Essence: Leg Armor
Jarnir,Solid Succession Ore
Jarnir,Smooth Succession Ore
Jarnir,Victorious Enchant Scroll
Jarnir,Adversarial Enchant Scroll
Jarnir,Instant Enchant Scroll
Emmett,Emmett's Essence
Emmett,Orna's Essence: Chest Armor
Emmett,Lightweight Succession Ore
Emmett,Perfect Succession Ore
Emmett,Forgotten Enchant Scroll
Emmett,Ancient Enchant Scroll
Irusan,Orna's Essence
Irusan,Orna's Essence: Weapon
Irusan,Orna's Essence: Head Armor
Irusan,Keen Succession Ore
Irusan,Stable Succession Ore
Irusan,Revenge Enchant Scroll
Irusan,Prophetic Enchant Scroll
RME Normal,Uaithne Remnant
RME Normal,New Era Remnant
RME Normal,New Era Stone
RME Normal,New Era Leather
RME Normal,New Era Cloth
RME Normal,New Era Orb
RME Normal,Waking Stone: Cooldown (5 sec)
RME Normal,Waking Stone: Efficient SP (70)
RME Normal,Waking Stone: Efficient Stamina (5)
RME Normal,Waking Stone: Damage Boost (10%)
RME Normal,Waking Stone: Knockdown Rate (10%)
RME Normal,Waking Stone: Major Cooldown (22 sec)
RME Normal,Waking Stone: Cooldown (4 sec)
RME Normal,Waking Stone: Efficient SP (60)
RME Normal,Waking Stone: Efficient Stamina (4)
RME Normal,Waking Stone: Damage Boost (8%)
RME Normal,Waking Stone: Knockdown Rate (8%)
RME Normal,Waking Stone: Major Cooldown (20 sec)
RME Normal,Life Erg Crystal
RME Normal,Magic Powder
RME Normal,Blessed Magic Powder
RME Normal,Superior Enhancement Elixir
Enok,Enok's Essence
Enok,Ardri's Essence: Feet Armor
Enok,Solid Legacy Shard
Enok,Smooth Legacy Shard
Enok,Twisted Enchant Scroll
Enok,Dignified Enchant Scroll
Enok,Greater Werewolf Paw
Cessair,Cessair's Essence
Cessair,Ardri's Essence: Hand Armor
Cessair,Lightweight Legacy Shard
Cessair,Madness Enchant Scroll
Cessair,Frenzy Enchant Scroll
Cessair,Brutal Enchant Scroll
Cessair,Greater Mysterious Cat Statue
Milo,Milo's Essence
Milo,Ardri's Essence: Leg Armor
Milo,Stable Legacy Shard
Milo,Irate Enchant Scroll
Milo,Lament Enchant Scroll
Milo,Cool Enchant Scroll
Milo,Greater Succubus Fang
Naberius,Naberius's Essence
Naberius,Ardri's Essence: Chest Armor
Naberius,Chaser's Enchant Scroll
Naberius,Enmity Enchant Scroll
Naberius,Sorrowful Enchant Scroll
Naberius,Greater War Goddess Statue
Romel,Ardri's Essence
Romel,Ardri's Essence: Weapon
Romel,Ardri's Essence: Head Armor
Romel,Keen Legacy Shard
Romel,Advance Enchant Scroll
Romel,Raging Enchant Scroll
Romel,Vehement Enchant Scroll
Romel,Greater Bronze Lion Statue
