Chances,1x,2x,3x,4x,5x,6x,7x,8x,9x,10x
12,40,168,54,"474,000",4,1,,9,,
13,35,182,58,"553,000",5,1,9,,,
14,30,196,63,"632,000",5,1,9,,,
15,25,210,67,"711,000",5,1,11,,,
16,20,224,72,"806,000",6,1,,,12,
17,15,238,76,"901,000",6,1,,,14,
18,10,252,81,"997,000",6,1,,,16,
19,7,266,85,"1,107,000",6,1,,18,,
20,3,280,90,"1,250,000",6,1,18,,,
,,,,,,,,,,
Level 110,Success Rate,Att,Def Pen,Gold,Sealed Power: Fragments,Enhancement Elixir,New Era Cloth,New Era Leather,New Era Ore,
1,100,12,4,"8,000",3,5,,,3,
2,100,25,7,"15,500",3,5,,,3,
3,100,37,11,"23,500",3,5,,,3,
4,100,50,14,"39,000",3,5,,3,,
5,100,62,18,"55,000",3,5,,3,,
6,100,75,21,"71,000",3,5,,3,,
7,100,87,25,"94,500",3,6,4,,,
8,100,100,28,"118,000",3,7,4,,,
9,100,112,32,"142,000",3,8,4,,,
10,100,125,35,"173,500",3,9,,,5,
11,100,137,39,"205,000",3,10,,,5,
12,100,150,42,"237,000",3,10,,,5,
13,100,162,46,"276,500",4,10,,5,,
14,100,175,49,"316,000",4,10,,5,,
15,100,187,53,"355,500",4,10,,6,,
16,100,200,56,"403,000",5,10,7,,,
17,100,212,60,"450,500",5,10,8,,,
18,100,225,63,"498,500",5,10,9,,,
19,7,237,67,"553,500",5,10,,,10,
20,3,250,70,"625,000",5,10,,10,,
,,,,,,,,,,
Level 105,Success Rate,Att,Def Pen,Gold,Sealed Power: Fragments,Enhancement Elixir,New Era Cloth,New Era Leather,New Era Ore,
1,100,11,3,"8,000",1,1,,,1,
2,100,22,6,"15,500",1,2,,,1,
3,100,33,9,"23,500",1,3,,,2,
4,100,44,12,"39,000",1,4,,2,,
5,100,55,15,"55,000",1,4,,2,,
6,100,66,18,"71,000",2,5,,3,,
7,100,77,21,"94,500",2,5,3,,,
8,100,88,24,"118,000",2,6,3,,,
9,100,99,27,"142,000",2,6,4,,,
10,100,110,30,"173,500",2,7,,,4,
11,100,121,33,"205,000",3,7,,,4,
12,100,132,36,"237,000",3,8,,,5,
13,100,143,39,"276,500",3,8,,5,,
14,100,154,42,"316,000",3,9,,5,,
15,100,165,45,"355,500",3,9,,6,,
16,100,176,48,"403,000",4,10,6,,,
17,100,187,51,"450,500",4,10,6,,,
18,100,198,54,"498,500",4,10,7,,,
19,7,209,57,"553,500",4,10,,,7,
20,3,220,60,"625,000",5,10,,7,,
