Enchant,Slot,Level,P/S,R,Att,Def,Crit,Crit Res,Add Dmg,Bal,Att Spd,Dest,HP,Stm,Family,Effect
Ancient,Belt,110,P,4,,,4,-3,,2,1,,,5,,
Fate,Belt & Rings,110,S,4,400,,4,,,4,,,,,,
Transcendent,Brooch,110,P,4,600,,2,10,150,2,1,,,,,
Prophetic,Chest,110,P,4,,160,7,12,,-3,,,100,8,,
Trial,Chest,110,S,4,,120,12,13,,-1,,,,5,,
Solitude,Gloves & Boots,110,S,4,465,-300,,8,,10,1,,,,,
Stylish,Gloves & Boots,110,P,4,145,300,4,-1,,5,2,,,,,
Fighting Spirit,Helm & Pants,110,S,4,285,280,8,10,,,,,,,,
Forgotten,Helm & Pants,110,P,4,245,200,3,8,,4,2,,,,,
Adversarial,Rings,110,P,4,,,,5,,9,,,-450,,,
Praise,Totem,110,S,4,230,,4,9,,,,,,,,
Victorious,Totem,110,P,4,,800,2,5,,,1,,,,,
Instant,Weapon,110,S,4,1030,,10,,,-1,3,,,,,
Revenge,Weapon,110,P,4,550,,6,,,2,8,,,,,
Irate,Accessory,105,S,5,,400,,2,,,,,,2,,
Twisted,Accessory,105,P,5,450,,,5,,,1,,,,,
Vehement,Belt,105,P,5,,,3,-3,,1,1,,,5,,
Mystic,Belt & Rings,105,S,5,200,,2,,,2,,,,,,
Space Time,Brooch,105,P,5,450,,,5,100,,1,,,,,
Dignified,Chest,105,P,5,,160,6,10,,-3,,,100,8,,
Lament,Chest,105,S,5,,120,9,10,,-1,,,,5,,
Frenzy,Gloves & Boots,105,S,5,465,-300,,5,,7,1,,,,,
Sorrowful,Gloves & Boots,105,P,5,145,300,3,-1,,4,2,,,,,
Advance,Helm & Pants,105,S,5,285,280,5,7,,,,,,,,
Cool,Helm & Pants,105,P,5,245,200,3,6,,3,2,,,,,
Charging,Rhod,105,S,5,,,2,,,,,100,,,Rhod Att Spd 2%,2% for 5% Att Speed
Clash,Rhod,105,S,5,,,2,,,,,100,,,Rhod Att Spd 30%,30% for 5% Att Speed (30s CD)
Concentrated,Rhod,105,P,5,-280,,,,,7,5,50,,,Rhod MP Regen,+2 MP/s
Shrewd,Rhod,105,P,5,-280,,,,,7,5,50,,,Rhod SP 1%,1% for 125 SP
Stern,Rhod,105,P,5,-280,,,,,7,5,50,,,Rhod SP 30%,30% for 125 SP (40s CD)
Chaser's,Rings,105,P,5,,,,5,,7,,,-450,,,
Madness,Totem,105,S,5,230,,2,7,,,,,,,,
Raging,Totem,105,P,5,,800,1,3,,,1,,,,,
Brutal,Weapon,105,P,5,430,,4,,,2,8,,,,,
Enmity,Weapon,105,S,5,1000,,7,,,-1,3,,,,,
Meaningful,Accessory,100,P,6,200,,,3,,,1,,,,,
Wish,Accessory,100,S,6,,300,,1,,,,,,2,,
Barrier,Chest,100,S,6,,120,7,8,,-1,,,,5,,
Infinite,Chest,100,P,6,,160,5,8,,-3,,,100,8,,
Soul,Gloves & Boots,100,S,6,465,-300,,3,,5,1,,,,,
Weeping,Gloves & Boots,100,P,6,145,300,2,-1,,3,2,,,,,
Capture,Helm & Pants,100,S,6,285,280,3,5,,,,,,,,
Heartless,Helm & Pants,100,P,6,245,200,2,4,,2,2,,,,,
Calm,Rhod,100,P,6,-280,,,,,5,4,,,,Rhod SP 1%,1% for 125 SP
Concerted,Rhod,100,P,6,-280,,,,,5,4,,,,Rhod SP 30%,30% for 125 SP (40s CD)
Dash,Rhod,100,S,6,,,,,,,,,,,Rhod Att Spd 2%,2% for 5% Att Speed
Outburst,Rhod,100,S,6,,,,,,,,,,,Rhod Att Spd 30%,30% for 5% Att Speed (30s CD)
Peaceful,Rhod,100,P,6,-280,,,,,5,4,,,,Rhod MP Regen,+2 MP/s
Sealed,Totem,100,P,6,,500,,,,,1,,,,,
Truth,Totem,100,S,6,230,,,5,,,,,,,,
Chaotic,Weapon,100,P,6,340,,9,-4,,,4,,,,,
Conviction,Weapon,100,S,6,970,,5,,,-1,3,,,,,
Subdued,Belt,,P,7,,,2,-3,,,1,,,5,,
Echoing,Gloves & Boots,,S,7,365,-260,,2,,4,1,,,,,
Ardor,Rhod,,S,7,,,-1,-1,,,,,,,Rhod Att Spd 30%,30% for 5% Att Speed (30s CD)
Meditating,Rhod,,P,7,-280,,,,,4,3,,,,Rhod MP Regen,+2 MP/s
Quiet,Rhod,,P,7,-280,,,,,4,3,,,,Rhod SP 1%,1% for 125 SP
Resolved,Rhod,,P,7,-280,,,,,4,3,,,,Rhod SP 30%,30% for 125 SP (40s CD)
Stroll,Rhod,,S,7,,,-1,-1,,,,,,,Rhod Att Spd 2%,2% for 5% Att Speed
The Dead,Rings,,P,7,,,,5,,5,,,-450,,,
Immoral,Weapon,,P,7,220,,8,-5,,,4,,,,,
Judgment,Weapon,,S,7,870,,4,-1,,-1,3,,,,,
Righteous,Weapon,,P,7,430,,2,,,2,8,,,,,
Spirited,Weapon,,S,7,680,,6,,,,,,,,,
Berserker,Accessory,,S,8,30,,,,,,,,,,Acc Stam Regen,+2 Stam/s
Fast,Accessory,,P,8,,,,,,-8,5,,,,Acc AS,
Passion,Accessory,,S,8,,200,,,,,,,,2,,
Significant,Accessory,,P,8,15,,,,,,1,,,,,
Enthusiastic,Armor,,S,8,282,-370,,,,5,,,,,,
Well-Balanced,Armor,,P,8,,,1,-1,,1,2,,,,,
Petite,Belt,,P,8,,,1,-3,,,1,,,,,
Sparkling,Rings,,P,8,,,,3,,2,,,-280,,,
Adamant,Weapon,,P,8,,,,,,5,4,,,,,
Bloodlust,Weapon,,S,8,150,,,,,3,5,,,,,
Valor,Weapon,,S,8,130,,,,,5,4,,,,,
Healthy,Accessory,,S,9,,130,,,,,,,12,,,
Agonizing,Legacy,,S,A,,,,,,,,,,,,"ATT +10, M.ATT +10, DEF +20, HP -5"
Armadillo,Legacy,,S,8,,,,,,,,,,,,"DEF +336, Stamina +5, HP -100"
Brave,Legacy,,P,A,,,,,,,,,,,,Bal +1 (+1 more with Combat Mastery r6)
Challenging,Legacy,,S,9,,,,,,,,,,,,"ATT/M.ATT +180, Att Spd +1, Crit +1%, Bal +1 (lvl 68+)"
Chaos,Legacy,,S,A,,,,,,,,,,,,Chance to boost ATT/M.ATT on activation
Courageous,Legacy,,S,A,,,,,,,,,,,,"ATT/M.ATT +70, DEF +50, Bal +1"
Deadly,Legacy,,S,8,,,,,,,,,,,,"ATT/M.ATT -250, Crit +3%"
Decisive,Legacy,,P,A,,,,,,,,,,,,"Bal +1, ATT -40, Crit +3%"
Diamond,Legacy,,S,9,,,,,,,,,,,,"DEF +62, Crit Res +3%, HP -50"
Divine Punishment,Legacy,,S,9,,,,,,,,,,,,"M.ATT +677, Att Spd +1, Bal -2, Crit +2%"
Dominance,Legacy,,S,9,,,,,,,,,,,,"ATT/M.ATT +150, on attack: Bal +30 + stamina regen for 60s"
Enduring,Legacy,,P,B,,,,,,,,,,,,Stamina +8 (+7 more with Cloth Armor Prof rA)
Expeditionary,Legacy,,S,7,,,,,,,,,,,,"Crit Res +4%, DEF +280, ATT/M.ATT +170 (+35 on Heavy)"
Fleet,Legacy,,P,9,,,,,,,,,,,,"ATT/M.ATT +180, Att Spd +3"
Force,Legacy,,S,9,,,,,,,,,,,,"Bal +2, ATT +140, M.ATT +132, DEF -28"
Fresh,Legacy,,P,7,,,,,,,,,,,,"Att Spd +3, ATT/M.ATT +55"
Grinding,Legacy,,P,9,,,,,,,,,,,,"DEF +35, HP +50, Att Spd +1 (lvl 68+)"
Impending,Legacy,,P,A,,,,,,,,,,,,"Att Spd -1, ATT +320"
Leopard's,Legacy,,P,9,,,,,,,,,,,,"ATT/M.ATT -240, Att Spd +8, Bal +2"
Maelstrom,Legacy,,S,9,,,,,,,,,,,,"ATT +752, Crit +2%, Att Spd +1, Bal -2 (Crit rank 7+)"
Master,Legacy,,S,A,,,,,,,,,,,,"Bal -1, Crit +5%, Crit Res +5%"
Memorable,Legacy,,P,7,,,,,,,,,,,,"Crit +2%, Crit Res +2%, Bal +1, Att Spd +2, DEF +100 (+35 ATT on Heavy)"
Reinforced,Legacy,,P,7,,,,,,,,,,,,"Crit +1%, Crit Res -1%, Bal +2, Att Spd +2, DEF +150 (+35 ATT on Heavy)"
Resilient,Legacy,,P,A,,,,,,,,,,,,DEF +95 (+95 more with Shield Mastery r8)
Resistant,Legacy,,S,8,,,,,,,,,,,,"ATT -160, DEF +340, Crit Res +5%"
Sentinel,Legacy,,S,9,,,,,,,,,,,,"ATT -15, DEF +118 (+106 more with Willpower rA), Crit Res +2%"
Stigma,Legacy,,S,7,,,,,,,,,,,,"Crit +5%, Crit Res +7%, Bal -1, HP -80, DEF +70"
Striking,Legacy,,S,A,,,,,,,,,,,,"ATT/M.ATT +35, Att Spd +1"
Strong,Legacy,,P,8,,,,,,,,,,,,"STR +9, INT +9, Stamina +2"
Temporal,Legacy,,P,7,,,,,,,,,,,,"Crit +4%, Crit Res +6%, Bal -3, HP +50, DEF +160"
Tricky,Legacy,,P,9,,,,,,,,,,,,"DEF +145, Crit +1%, Crit Res -3%"
Tutelary,Legacy,,P,A,,,,,,,,,,,,"DEF +112, HP +50"
Warlord's,Legacy,,P,9,,,,,,,,,,,,"STR +6, INT +6, DEF +130"
Enhanced,Legacy,,P,9,,,,,,,,,,,,"For Longswords: Balance +1, Attack Speed +2, Attack Speed +3 (with Longsword Mastery r7), ATT -80, Critical Rate +1%"
Journeying,Legacy,,S,A,,,,,,,,,,,,"For Cloth/Light Armor - Head & Leg: Critical Rate +1%, Critical Resistance +3%, DEF +150, ATT +250, M. ATT +250, When enchanting on a Cloth Armor: ATT +35, When enchanting on a Cloth Armor: M. ATT +35"
Sage's,Legacy,,P,A,,,,,,,,,,,,"For Spell Books: INT +21, AGI -6"
Silent,Legacy,,P,A,,,,,,,,,,,,"For Cloth/Light Armor - Hand & Feet: Critical Rate +1%, Critical Resistance -2%, Balance +2, Attack Speed +2, DEF +150, ATT +110, M. ATT +110, When enchanting on a Cloth Armor: ATT +35, When enchanting on a Cloth Armor: M. ATT +35"
