Item,Gold,Item 1,#,Item 2,#,Item 3,#,Item 4,#,Item 5,#,Item 6,#,Item 7,#,Item 8,#,Item 9,#,Item 10,#,Item 11,#
Eriu Book,,Lucian's Essence,2,Eriu Fragment: Auxiliary Equipment,2,Solid Eriu Crystal,10,,,,,,,,,,,,,,,,
Eriu Gauntlets,,Legendary Uaithne Gauntlets,1,Esras' Essence,4,Eriu Fragment: Hand Armor,2,Unrelenting Eriu Crystal,10,Superior Enhancement Elixir,15,,,,,,,,,,,,
Eriu Greaves,,Legendary Uaithne Greaves,1,Semias' Essence,4,Eriu Fragment: Leg Armor,2,Smooth Eriu Crystal,10,Superior Enhancement Elixir,15,,,,,,,,,,,,
Eriu Helm,,Legendary Uaithne Helm,1,Lucian's Essence,4,Eriu Fragment: Head Armor,2,Solid Eriu Crystal,10,Superior Enhancement Elixir,15,,,,,,,,,,,,
Eriu Mail,,Legendary Uaithne Mail,1,Uscias' Essence,4,Eriu Fragment: Chest Armor,2,Robust Eriu Crystal,10,Superior Enhancement Elixir,15,,,,,,,,,,,,
Eriu Weapon,,Legendary Uaithne Weapon,1,Lucian's Essence,4,Eriu Fragment: Weapon,2,Keen Eriu Crystal,10,Superior Enhancement Elixir,15,,,,,,,,,,,,
Exquisite HP Potion,"1,600",Empty Bottle,1,Life Erg Crystal,1,Orb,0.5,Magic Powder,1,,,,,,,,,,,,,,
Fine Eriu Gauntlets,"1,125,000",Beginner Eriu Gauntlets,1,Eriu Advancement Stone: Hand Armor,1,Esras' Essence,1,Eriu Fragment: Hand Armor,1,Unrelenting Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,2,Superior Enhancement Elixir,8,,,,,,
Fine Eriu Greaves,"1,125,000",Beginner Eriu Greaves,1,Eriu Advancement Stone: Leg Armor,1,Semias' Essence,1,Eriu Fragment: Leg Armor,1,Smooth Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,2,Superior Enhancement Elixir,8,,,,,,
Fine Eriu Helm,"1,125,000",Beginner Eriu Helm,1,Eriu Advancement Stone: Head Armor,1,Lucian's Essence,1,Eriu Fragment: Head Armor,1,Solid Eriu Crystal,5,Premium Armor Enhancement Rune,1,Superior Enhancement Elixir,8,Tarian Steel,2,,,,,,
Fine Eriu Mail,"1,125,000",Beginner Eriu Mail,1,Eriu Advancement Stone: Chest Armor,1,Uscias' Essence,1,Eriu Fragment: Chest Armor,1,Robust Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,2,Superior Enhancement Elixir,8,,,,,,
Fine Eriu Weapon,"2,250,000",Beginner Eriu Weapon,1,Eriu Advancement Stone: Weapon,2,Semias' Essence,2,Eriu Fragment: Weapon,2,Keen Eriu Crystal,10,Lightweight Eriu Crystal,10,Premium Enhancement Rune,2,Superior Enhancement Elixir,10,Tarian Steel,33,,,,
Fine HP Potion,200,Empty Bottle,1,Life Erg Crystal,0.5,,,,,,,,,,,,,,,,,,
Fine Uaithne Boots,"750,000",Beginner Uaithne Boots,1,Uaithne Advancement Stone: Feet Armor,1,Morgant's Essence,1,Uaithne Fragment: Feet Armor,1,Unrelenting Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,11,Superior Enhancement Elixir,5,,,,,,
Fine Uaithne Gauntlets,"750,000",Beginner Uaithne Gauntlets,1,Uaithne Advancement Stone: Hand Armor,1,Morgant's Essence,1,Uaithne Fragment: Hand Armor,1,Unrelenting Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,11,Superior Enhancement Elixir,5,,,,,,
Fine Uaithne Greaves,"750,000",Beginner Uaithne Greaves,1,Uaithne Advancement Stone: Leg Armor,1,Spinos' Essence,1,Uaithne Fragment: Leg Armor,1,Smooth Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,11,Superior Enhancement Elixir,5,,,,,,
Fine Uaithne Helm,"750,000",Beginner Uaithne Helm,1,Uaithne Advancement Stone: Head Armor,1,Sreng's Essence,1,Uaithne Fragment: Head Armor,1,Solid Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,11,Superior Enhancement Elixir,5,,,,,,
Fine Uaithne Mail,"750,000",Beginner Uaithne Mail,1,Uaithne Advancement Stone: Chest Armor,1,Gorbas' Essence,1,Uaithne Fragment: Chest Armor,1,Robust Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,11,Superior Enhancement Elixir,5,,,,,,
Fine Uaithne Weapon,"1,500,000",Beginner Uaithne Weapon,1,Uaithne Advancement Stone: Weapon,2,Spinos' Essence,2,Uaithne Fragment: Weapon,2,Keen Uaithne Crystal,10,Lightweight Uaithne Crystal,10,Premium Enhancement Rune,2,Superior Enhancement Elixir,10,Jardin Steel,33,,,,
Goibhniu's Enhancement Stone,"700,000",New Era Stone,10,Unknowable Power: Fragments,3,,,,,,,,,,,,,,,,,,
Goibhniu's Stone+,"700,000",Goibhniu's Enhancement Stone,2,,,,,,,,,,,,,,,,,,,,
Legendary Eriu Gauntlets,"3,750,000",Rare Eriu Gauntlets,1,Eriu Advancement Stone: Hand Armor,2,Esras' Essence,1,Eriu Fragment: Hand Armor,1,Unrelenting Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,16,Superior Enhancement Elixir,48,,,,,,
Legendary Eriu Greaves,"3,750,000",Rare Eriu Greaves,1,Eriu Advancement Stone: Leg Armor,2,Semias' Essence,1,Eriu Fragment: Leg Armor,1,Smooth Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,16,Superior Enhancement Elixir,48,,,,,,
Legendary Eriu Helm,"3,750,000",Rare Eriu Helm,1,Eriu Advancement Stone: Head Armor,2,Lucian's Essence,1,Eriu Fragment: Head Armor,1,Solid Eriu Crystal,10,Premium Armor Enhancement Rune,2,Superior Enhancement Elixir,48,Tarian Steel,16,,,,,,
Legendary Eriu Mail,"3,750,000",Rare Eriu Mail,1,Eriu Advancement Stone: Chest Armor,2,Uscias' Essence,1,Eriu Fragment: Chest Armor,1,Robust Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,16,Superior Enhancement Elixir,48,,,,,,
Legendary Uaithne Boots,"2,500,000",Rare Uaithne Boots,1,Uaithne Advancement Stone: Feet Armor,2,Morgant's Essence,1,Uaithne Fragment: Feet Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,117,Superior Enhancement Elixir,30,,,,,,
Legendary Uaithne Gauntlets,"2,500,000",Rare Uaithne Gauntlets,1,Uaithne Advancement Stone: Hand Armor,2,Morgant's Essence,1,Uaithne Fragment: Hand Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,117,Superior Enhancement Elixir,30,,,,,,
Legendary Uaithne Greaves,"2,500,000",Rare Uaithne Greaves,1,Uaithne Advancement Stone: Leg Armor,2,Spinos' Essence,1,Uaithne Fragment: Leg Armor,1,Smooth Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,117,Superior Enhancement Elixir,30,,,,,,
Legendary Uaithne Helm,"2,500,000",Rare Uaithne Helm,1,Uaithne Advancement Stone: Head Armor,2,Sreng's Essence,1,Uaithne Fragment: Head Armor,1,Solid Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,117,Superior Enhancement Elixir,30,,,,,,
Legendary Uaithne Mail,"2,500,000",Rare Uaithne Mail,1,Uaithne Advancement Stone: Chest Armor,2,Gorbas' Essence,1,Uaithne Fragment: Chest Armor,1,Robust Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,117,Superior Enhancement Elixir,30,,,,,,
Legendary Uaithne Weapon,"5,000,000",Rare Uaithne Weapon,1,Uaithne Advancement Stone: Weapon,4,Morgant's Essence,3,Uaithne Fragment: Weapon,4,Perfect Uaithne Crystal,10,Lightweight Uaithne Crystal,10,Stable Uaithne Crystal,10,Keen Uaithne Crystal,10,Premium Enhancement Rune,1,Superior Enhancement Elixir,60,Jardin Steel,351
Mysterious Crystal,"200,000",Mysterious Shard Grade 3,1,Uaithne Crystal,1,,,,,,,,,,,,,,,,,,
Premium Armor Enhancement Rune,"700,000",Enhancement Rune,3,,,,,,,,,,,,,,,,,,,,
Premium Enhancement Rune,"700,000",Enhancement Rune,2,,,,,,,,,,,,,,,,,,,,
Premium Enhancement Rune+,"1,400,000",Premium Enhancement Rune,4,,,,,,,,,,,,,,,,,,,,
Rare Eriu Gauntlets,"2,550,000",Superior Eriu Gauntlets,1,Eriu Advancement Stone: Hand Armor,2,Esras' Essence,1,Eriu Fragment: Hand Armor,1,Unrelenting Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,8,Superior Enhancement Elixir,24,,,,,,
Rare Eriu Greaves,"2,550,000",Superior Eriu Greaves,1,Eriu Advancement Stone: Leg Armor,2,Semias' Essence,1,Eriu Fragment: Leg Armor,1,Smooth Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,8,Superior Enhancement Elixir,24,,,,,,
Rare Eriu Helm,"2,550,000",Superior Eriu Helm,1,Eriu Advancement Stone: Head Armor,2,Lucian's Essence,1,Eriu Fragment: Head Armor,1,Solid Eriu Crystal,10,Premium Armor Enhancement Rune,2,Superior Enhancement Elixir,24,Tarian Steel,8,,,,,,
Rare Eriu Mail,"2,550,000",Superior Eriu Mail,1,Eriu Advancement Stone: Chest Armor,2,Uscias' Essence,1,Eriu Fragment: Chest Armor,1,Robust Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,8,Superior Enhancement Elixir,24,,,,,,
Rare Eriu Weapon,"5,100,000",Superior Eriu Weapon,1,Eriu Advancement Stone: Weapon,3,Esras' Essence,3,Eriu Fragment: Weapon,3,Perfect Eriu Crystal,10,Lightweight Eriu Crystal,10,Stable Eriu Crystal,10,Premium Enhancement Rune+,1,Superior Enhancement Elixir,40,Tarian Steel,159,,
Rare Uaithne Boots,"1,700,000",Superior Uaithne Boots,1,Uaithne Advancement Stone: Feet Armor,2,Morgant's Essence,1,Uaithne Fragment: Feet Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,53,Superior Enhancement Elixir,14,,,,,,
Rare Uaithne Gauntlets,"1,700,000",Superior Uaithne Gauntlets,1,Uaithne Advancement Stone: Hand Armor,2,Morgant's Essence,1,Uaithne Fragment: Hand Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,53,Superior Enhancement Elixir,14,,,,,,
Rare Uaithne Greaves,"1,700,000",Superior Uaithne Greaves,1,Uaithne Advancement Stone: Leg Armor,2,Spinos' Essence,1,Uaithne Fragment: Leg Armor,1,Smooth Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,53,Superior Enhancement Elixir,14,,,,,,
Rare Uaithne Helm,"1,700,000",Superior Uaithne Helm,1,Uaithne Advancement Stone: Head Armor,2,Sreng's Essence,1,Uaithne Fragment: Head Armor,1,Solid Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,53,Superior Enhancement Elixir,14,,,,,,
Rare Uaithne Mail,"1,700,000",Superior Uaithne Mail,1,Uaithne Advancement Stone: Chest Armor,2,Gorbas' Essence,1,Uaithne Fragment: Chest Armor,1,Robust Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,53,Superior Enhancement Elixir,14,,,,,,
Rare Uaithne Weapon,"3,400,000",Superior Uaithne Weapon,1,Uaithne Advancement Stone: Weapon,3,Morgant's Essence,3,Uaithne Fragment: Weapon,3,Perfect Uaithne Crystal,10,Lightweight Uaithne Crystal,10,Stable Uaithne Crystal,10,Premium Enhancement Rune,1,Superior Enhancement Elixir,40,Jardin Steel,159,,
Roots of Abundance,,Semias' Essence,2,Eriu Fragment: Roots of Abundance,2,Solid Eriu Crystal,10,Smooth Eriu Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Cloth,20,Enhanced New Era Ore,60,,,,,,,,
Shrouded Moonlight,"350,000",Bres's Moonlight Essence,1,Smooth Succession Ore,3,Solid Succession Ore,1,New Era Orb,35,New Era Cloth,50,New Era Ore,50,,,,,,,,,,
Shrouded Shadow,"350,000",Bres's Shadow Essence,1,Smooth Succession Ore,3,Solid Succession Ore,1,New Era Orb,35,New Era Cloth,50,New Era Ore,50,,,,,,,,,,
Starlight Belt,,Uscias' Essence,2,Eriu Fragment: Starlight Belt,2,Smooth Eriu Crystal,10,Robust Eriu Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Leather,25,Enhanced New Era Ore,60,,,,,,,,
Superior Eriu Gauntlets,"1,725,000",Fine Eriu Gauntlets,1,Eriu Advancement Stone: Hand Armor,2,Esras' Essence,1,Eriu Fragment: Hand Armor,1,Unrelenting Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,4,Superior Enhancement Elixir,16,,,,,,
Superior Eriu Greaves,"1,725,000",Fine Eriu Greaves,1,Eriu Advancement Stone: Leg Armor,2,Semias' Essence,1,Eriu Fragment: Leg Armor,1,Smooth Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,4,Superior Enhancement Elixir,16,,,,,,
Superior Eriu Helm,"1,725,000",Fine Eriu Helm,1,Eriu Advancement Stone: Head Armor,2,Lucian's Essence,1,Eriu Fragment: Head Armor,1,Solid Eriu Crystal,10,Premium Armor Enhancement Rune,2,Superior Enhancement Elixir,16,Tarian Steel,4,,,,,,
Superior Eriu Mail,"1,725,000",Fine Eriu Mail,1,Eriu Advancement Stone: Chest Armor,2,Uscias' Essence,1,Eriu Fragment: Chest Armor,1,Robust Eriu Crystal,10,Premium Armor Enhancement Rune,2,Tarian Steel,4,Superior Enhancement Elixir,16,,,,,,
Superior Eriu Weapon,"3,375,000",Fine Eriu Weapon,1,Eriu Advancement Stone: Weapon,3,Uscias' Essence,3,Eriu Fragment: Weapon,3,Keen Eriu Crystal,10,Lightweight Eriu Crystal,10,Stable Eriu Crystal,10,Premium Enhancement Rune+,1,Superior Enhancement Elixir,25,Tarian Steel,72,,
Superior HP Potion,600,Empty Bottle,1,Life Erg Crystal,1,,,,,,,,,,,,,,,,,,
Superior Uaithne Boots,"1,150,000",Fine Uaithne Boots,1,Uaithne Advancement Stone: Feet Armor,2,Morgant's Essence,1,Uaithne Fragment: Feet Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,24,Superior Enhancement Elixir,10,,,,,,
Superior Uaithne Gauntlets,"1,150,000",Fine Uaithne Gauntlets,1,Uaithne Advancement Stone: Hand Armor,2,Morgant's Essence,1,Uaithne Fragment: Hand Armor,1,Unrelenting Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,24,Superior Enhancement Elixir,10,,,,,,
Superior Uaithne Greaves,"1,150,000",Fine Uaithne Greaves,1,Uaithne Advancement Stone: Leg Armor,2,Spinos' Essence,1,Uaithne Fragment: Leg Armor,1,Smooth Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,24,Superior Enhancement Elixir,10,,,,,,
Superior Uaithne Helm,"1,150,000",Fine Uaithne Helm,1,Uaithne Advancement Stone: Head Armor,2,Sreng's Essence,1,Uaithne Fragment: Head Armor,1,Solid Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,24,Superior Enhancement Elixir,10,,,,,,
Superior Uaithne Mail,"1,150,000",Fine Uaithne Mail,1,Uaithne Advancement Stone: Chest Armor,2,Gorbas' Essence,1,Uaithne Fragment: Chest Armor,1,Robust Uaithne Crystal,10,Premium Armor Enhancement Rune,2,Jardin Steel,24,Superior Enhancement Elixir,10,,,,,,
Superior Uaithne Weapon,"2,250,000",Fine Uaithne Weapon,1,Uaithne Advancement Stone: Weapon,3,Gorbas' Essence,3,Uaithne Fragment: Weapon,3,Keen Uaithne Crystal,10,Lightweight Uaithne Crystal,10,Stable Uaithne Crystal,10,Premium Enhancement Rune,1,Superior Enhancement Elixir,25,Jardin Steel,72,,
The Book of Ardri,"650,000",Ardri's Essence,4,Solid Legacy Shard,1,Smooth Legacy Shard,1,Orb,200,Blessed Magic Powder,200,,,,,,,,,,,,
The Book of Uaithne,,Sreng's Essence,2,Uaithne Fragment: Auxiliary Equipment,2,Solid Uaithne Crystal,10,,,,,,,,,,,,,,,,
The Cursed Belt,,Gorbas' Essence,2,Uaithne Fragment: The Cursed Belt,2,Robust Uaithne Crystal,10,Smooth Uaithne Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Leather,25,Enhanced New Era Ore,60,,,,,,,,
The Sun's Wish,,Spinos' Essence,2,Uaithne Fragment: The Sun's Wish,2,Solid Uaithne Crystal,10,Smooth Uaithne Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Cloth,20,Enhanced New Era Ore,60,,,,,,,,
Token of Quiet,,Morgant's Essence,2,Uaithne Fragment: Token of Quiet,2,Unrelenting Uaithne Crystal,10,Robust Uaithne Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Cloth,50,Enhanced New Era Ore,50,,,,,,,,
Token of Silence,,Morgant's Essence,2,Uaithne Fragment: Token of Silence,2,Unrelenting Uaithne Crystal,10,Robust Uaithne Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Cloth,50,Enhanced New Era Ore,50,,,,,,,,
Uaithne Advancement Stone: Chest Armor,,Uaithne Fragment: Chest Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,10,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Advancement Stone: Feet Armor,,Uaithne Fragment: Feet Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,10,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Advancement Stone: Hand Armor,,Uaithne Fragment: Hand Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,10,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Advancement Stone: Head Armor,,Uaithne Fragment: Head Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,10,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Advancement Stone: Leg Armor,,Uaithne Fragment: Leg Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,10,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Advancement Stone: Weapon,,Uaithne Fragment: Weapon,1,Goibhniu's Stone+,2,Superior Enhancement Elixir,20,Sealed Power: Fragments,100,Inherited Power: Fragments,100,,,,,,,,,,,,
Uaithne Boots,,+15 Orna Boots,1,Morgant's Essence,4,Uaithne Fragment: Feet Armor,2,Unrelenting Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Uaithne Gauntlets,,+15 Orna Gauntlets,1,Morgant's Essence,4,Uaithne Fragment: Hand Armor,2,Unrelenting Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Uaithne Greaves,,+15 Orna Greaves,1,Spinos' Essence,4,Uaithne Fragment: Leg Armor,2,Smooth Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Uaithne Helm,,+15 Orna Helm,1,Sreng's Essence,4,Uaithne Fragment: Head Armor,2,Solid Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Uaithne Mail,,+15 Orna Mail,1,Gorbas' Essence,4,Uaithne Fragment: Chest Armor,2,Robust Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Uaithne Weapon,,+15 Orna Weapon,1,Sreng's Essence,4,Uaithne Fragment: Weapon,2,Keen Uaithne Crystal,10,Superior Enhancement Elixir,10,,,,,,,,,,,,
Yoke of Mortality,,Esras' Essence,2,Eriu Fragment: Yoke of Mortality,2,Robust Eriu Crystal,10,Unrelenting Eriu Crystal,10,Enhanced New Era Orb,35,Enhanced New Era Cloth,50,Enhanced New Era Ore,50,,,,,,,,
