Item,Stat,Step,MaxTune,Gold,Mat 1,#,Mat 2,#,Mat 3,#,Mat 4,#,Mat 5,#,Unlock
Uaithne Weapon,CRIT RTE,1,4,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Weapon,Dest I,50,5400,"700,000",Mysterious Shard Grade 3,3,New Era Ore,25,New Era Orb,20,,,,,1
Uaithne Weapon,Dest II,45,4500,"2,100,000",Mysterious Crystal,3,Enhanced New Era Ore,35,Enhanced New Era Orb,35,,,,,2
Uaithne Helm,DEF,10,479,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Helm,CRIT RST,1,3,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Helm,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Helm,Dest II,15,1320,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Uaithne Mail,DEF,10,596,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Mail,CRIT RST,1,5,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Mail,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Mail,Dest II,15,2220,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Uaithne Greaves,DEF,10,567,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Greaves,CRIT RST,1,6,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Greaves,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Greaves,Dest II,15,2220,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Uaithne Gauntlets,DEF,10,479,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Gauntlets,CRIT RST,1,3,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Gauntlets,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Gauntlets,Dest II,15,1320,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Uaithne Boots,DEF,10,479,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Boots,CRIT RST,1,3,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Uaithne Boots,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Boots,Dest II,15,1320,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Eriu Weapon,ATT/M. ATT,10,2000,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Eriu Weapon,BAL,1,4,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Eriu Weapon,CRIT RTE,1,4,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Eriu Weapon,Dest I,50,5400,"700,000",Mysterious Shard Grade 3,3,New Era Ore,25,New Era Orb,20,,,,,1
Eriu Weapon,Dest II,45,9000,"2,100,000",Mysterious Crystal,3,Enhanced New Era Ore,35,Enhanced New Era Orb,35,,,,,2
Eriu Helm,DEF,10,479,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Eriu Helm,CRIT RST,1,3,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Eriu Helm,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Eriu Helm,Dest II,15,2640,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Eriu Mail,DEF,10,596,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Eriu Mail,CRIT RST,1,5,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Eriu Mail,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Eriu Mail,Dest II,15,4440,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
Eriu Greaves,DEF,10,567,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Eriu Greaves,CRIT RST,1,6,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
Eriu Greaves,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Eriu Greaves,Dest II,15,4440,"700,000",Abyssal Crystal,1,Enhanced New Era Cloth,17,Enhanced New Era Leather,17,,,,,2
