Date,Item,Min
2026-06-09,Lightweight Legacy Shard,"499,999"
2026-06-09,Lightweight Legendary Chunk,"555,800"
2026-06-09,Lightweight Legendary Ore,"1,000,000"
2026-06-09,Lightweight Legendary Shard,"8,999,999"
2026-06-09,Lightweight Succession Ore,"900,000"
2026-06-09,Lightweight Uaithne Crystal,"2,300,000"
2026-06-09,Naberius's Essence,"1,200,000"
2026-06-09,Orna's Essence: Chest Armor,"2,100,000"
2026-06-09,Orna's Essence: Feet Armor,"2,000,000"
2026-06-09,Orna's Essence: Hand Armor,"1,899,932"
2026-06-09,Orna's Essence: Head Armor,"1,400,000"
2026-06-09,Orna's Essence: Leg Armor,"2,000,000"
2026-06-09,Orna's Essence: Weapon,"2,000,000"
2026-06-09,Perfect Legendary Chunk,"555,800"
2026-06-09,Perfect Legendary Ore,"900,000"
2026-06-09,Perfect Succession Ore,"983,915"
2026-06-09,Perfect Uaithne Crystal,"2,599,901"
2026-06-09,Regina's Feather: Head Armor,"100,000"
2026-06-09,Regina's Feather: Large Shield,"2,222,800"
2026-06-09,Regina's Feather: Shield,"300,000"
2026-06-09,Regina's Feather: Weapon,"5,000,000"
2026-06-09,Robust Eriu Crystal,"2,475,000"
2026-06-09,Robust Uaithne Crystal,"786,120"
2026-06-09,Smooth Eriu Crystal,"2,519,250"
2026-06-09,Smooth Legacy Shard,"499,999"
2026-06-09,Smooth Legendary Chunk,"44,800"
2026-06-09,Smooth Legendary Ore,"555,800"
2026-06-09,Smooth Legendary Shard,"150,000"
2026-06-09,Smooth Succession Ore,"1,500,000"
2026-06-09,Smooth Succession Shard,"200,000"
2026-06-09,Smooth Uaithne Crystal,"516,986"
2026-06-09,Solid Eriu Crystal,"870,576"
2026-06-09,Solid Legacy Shard,"800,000"
2026-06-09,Solid Legendary Chunk,"555,000"
2026-06-09,Solid Legendary Ore,"444,800"
2026-06-09,Solid Legendary Shard,"1,000,000"
2026-06-09,Solid Succession Ore,"1,064,249"
2026-06-09,Solid Succession Shard,"222,800"
2026-06-09,Solid Uaithne Crystal,"839,000"
2026-06-09,Stable Eriu Crystal,"2,525,000"
2026-06-09,Stable Legacy Shard,"600,000"
2026-06-09,Stable Legendary Chunk,"555,800"
2026-06-09,Stable Legendary Shard,"9,999,999"
2026-06-09,Stable Succession Ore,"344,444"
2026-06-09,Stable Succession Shard,"7,000,000"
2026-06-09,Stable Uaithne Crystal,"3,170,000"
2026-06-09,Terminus Sentinel Essence: Hand Armor,"444,800"
2026-06-09,Terminus Sentinel Essence: Shield,"999,800"
2026-06-09,Uaithne Fragment: Chest Armor,"4,065,721"
2026-06-09,Uaithne Fragment: Feet Armor,"3,700,000"
2026-06-09,Uaithne Fragment: Hand Armor,"3,300,000"
2026-06-09,Uaithne Fragment: Head Armor,"4,850,000"
2026-06-09,Uaithne Fragment: Leg Armor,"3,099,999"
2026-06-09,Uaithne Fragment: The Cursed Belt,"6,000,000"
2026-06-09,Uaithne Fragment: The Sun's Wish,"5,000,000"
2026-06-09,Uaithne Fragment: Token of Quiet,"12,000,000"
2026-06-09,Uaithne Fragment: Token of Silence,"7,300,000"
2026-06-09,Uaithne Fragment: Weapon,"4,100,000"
2026-06-09,Dullahan's Essence,"444,800"
2026-06-09,Gorbas' Essence,"9,000,000"
2026-06-09,Lucian's Essence,"2,475,000"
2026-06-09,Morgant's Essence,"1,999,999"
2026-06-09,Orna's Essence,"2,000,000"
2026-06-09,Ragnahim's Essence,"2,000,000"
2026-06-09,Semias' Essence,"3,666,666"
2026-06-09,Spinos' Essence,"7,199,000"
2026-06-09,Sreng's Essence,"40,000,000"
2026-06-09,Uscias' Essence,"2,604,444"
2026-06-09,Greater Bronze Lion Statue,"3,000,000"
2026-06-09,Greater Mysterious Cat Statue,"2,000,000"
2026-06-09,Greater War Goddess Statue,"149,999"
2026-06-09,The Watcher's Glowing Succubus Fang,"95,000,000"
2026-06-09,The Watcher's Mysterious Cat Statue,"32,000,000"
2026-06-09,The Watcher's Rusty Mysterious Cat Statue,"4,204,267"
2026-06-09,The Watcher's Rusty Succubus Fang,"3,000,000"
2026-06-09,The Watcher's Rusty War Goddess Statue,"3,798,888"
2026-06-09,The Watcher's Rusty Werewolf Paw,"35,555,000"
2026-06-09,The Watcher's Glowing War Goddess Statue,"100,000,000"
2026-06-09,The Watcher's Glowing Werewolf Paw,"120,000,000"
2026-06-09,The Watcher's Succubus Fang,"24,000,000"
2026-06-09,The Watcher's War Goddess Statue,"26,000,000"
2026-06-09,The Watcher's Werewolf Paw,"39,000,000"
2026-06-10,Eriu Fragment: Auxiliary Equipment,"6,900,000"
2026-06-10,Eriu Fragment: Chest Armor,"3,000,000"
2026-06-10,Eriu Fragment: Head Armor,"3,307,716"
2026-06-10,Eriu Fragment: Leg Armor,"3,352,000"
2026-06-10,Eriu Fragment: Starlight Belt,"6,000,000"
2026-06-10,Eriu Fragment: Weapon,"3,300,000"
2026-06-10,Uaithne Fragment: Auxiliary Equipment,"1,500,000"
2026-06-10,Uaithne Fragment: Chest Armor,"3,700,000"
2026-06-10,Uaithne Fragment: Feet Armor,"3,750,000"
2026-06-10,Uaithne Fragment: Hand Armor,"3,500,809"
2026-06-10,Uaithne Fragment: Head Armor,"4,100,000"
2026-06-10,Uaithne Fragment: Leg Armor,"2,800,000"
2026-06-10,Uaithne Fragment: The Cursed Belt,"5,999,999"
2026-06-10,Uaithne Fragment: The Sun's Wish,"4,800,000"
2026-06-10,Uaithne Fragment: Token of Quiet,"9,700,000"
2026-06-10,Uaithne Fragment: Token of Silence,"6,750,000"
2026-06-10,Ardri's Essence,"100,000"
2026-06-10,Gorbas' Essence,"8,000,000"
2026-06-10,Lucian's Essence,"2,875,089"
2026-06-10,Morgant's Essence,"2,377,999"
2026-06-10,Orna's Essence,"1,006,642"
2026-06-10,Ragnahim's Essence,"2,000,000"
2026-06-10,Semias' Essence,"4,088,623"
2026-06-10,Spinos' Essence,"4,000,000"
2026-06-10,Sreng's Essence,"40,000,000"
2026-06-10,Uscias' Essence,"2,604,444"
2026-06-10,Ancient Erg Crystal,"4,933"
2026-06-10,Artisan's Refined Flask,"4,650"
2026-06-10,Artisan's Sturdy Flask,"58,888"
2026-06-10,Emptiness Erg Crystal,"2,700"
2026-06-10,Enhanced New Era Cloth,"46,800"
2026-06-10,Enhanced New Era Leather,"37,500"
2026-06-10,Enhanced New Era Orb,"18,750"
2026-06-10,Enhanced New Era Ore,"54,000"
2026-06-10,Eternity Erg Crystal,"10,000"
2026-06-10,Flask of Niflheim,"1,200,000"
2026-06-10,Hoarfrost Hollow Erg Crystal,"10,100"
2026-06-10,Life Erg Crystal,"6,969"
2026-06-10,Life Spirit Remnant,"13,337"
2026-06-10,Light Erg Crystal,"27,000"
2026-06-10,New Era Cloth,"39,098"
2026-06-10,New Era Leather,"33,650"
2026-06-10,New Era Orb,"9,000"
2026-06-10,New Era Ore,"9,800"
2026-06-10,Orb,"8,150"
2026-06-10,Paradise Orb,"2,776"
2026-06-10,Prairie Erg Crystal,"8,615"
2026-06-10,Rage Erg Crystal,"9,000"
2026-06-10,Sacred Erg Crystal,"8,000"
2026-06-10,Silence Erg Crystal,"3,000"
2026-06-10,Spirit Remnant,"2,295"
2026-06-10,Twilight Erg Crystal,"3,888"
2026-06-10,Uaithne Remnant,"1,079"
2026-06-10,Water Erg Crystal,"6,900"
2026-06-10,Abomination's Essence: Leg Armor,"734,000"
2026-06-10,Ardri's Essence: Leg Armor,"1,699,996"
2026-06-10,Astera's Essence: Leg Armor,"40,000"
2026-06-10,Braha's Essence: Leg Armor,"200,000"
2026-06-10,Dullahan's Essence: Leg Armor,"175,950"
2026-06-10,Lugh Lamhfada's Essence: Leg Armor,"500,000"
2026-06-10,Milletian's Essence: Leg Armor,"1,500,000"
2026-06-10,Orna's Essence: Leg Armor,"1,900,000"
2026-06-10,Uaithne Fragment: Leg Armor,"2,743,499"
2026-06-10,Bountiful Enchant Scroll,"7,800,000"
2026-06-10,Executing Enchant Scroll,"84,444,444"
2026-06-10,Fate Enchant Scroll,"440,000,000"
2026-06-10,Hollow Enchant Scroll,"52,999,900"
2026-06-10,Madness Enchant Scroll,"41,999,999"
2026-06-10,Mystic Enchant Scroll,"58,888,888"
2026-06-10,Reflection Enchant Scroll,"60,000,000"
2026-06-10,Tragic Enchant Scroll,"39,999,500"
2026-06-10,Wave Enchant Scroll,"40,000,000"
2026-06-10,Keen Uaithne Crystal,"2,777,777"
2026-06-10,Lightweight Uaithne Crystal,"3,100,000"
2026-06-10,Perfect Uaithne Crystal,"3,298,853"
2026-06-10,Robust Uaithne Crystal,"1,030,000"
2026-06-10,Smooth Uaithne Crystal,"467,988"
2026-06-10,Solid Uaithne Crystal,"800,000"
2026-06-10,Stable Uaithne Crystal,"3,192,384"
2026-06-10,Uaithne Crystal,"15,999,999"
2026-06-10,Unrelenting Uaithne Crystal,"777,776"
2026-06-10,Greater Succubus Fang,"250,000"
2026-06-11,Abyssal Shard Grade 1,"130,000"
2026-06-11,Abyssal Shard Grade 2,"700,000"
2026-06-11,Abyssal Shard Grade 3,"1,444,444"
2026-06-11,Mysterious Shard Grade 1,"79,000"
2026-06-11,Mysterious Shard Grade 2,"240,000"
2026-06-11,Mysterious Shard Grade 3,"987,650"
2026-06-11,Uaithne Crystal,"16,499,999"
2026-06-11,Adamant Enchant Scroll,"2,222,222"
2026-06-11,Advance Enchant Scroll,"979,000"
2026-06-11,Agonizing Enchant Scroll,"5,000"
2026-06-11,Ancient Enchant Scroll,"7,500,000"
2026-06-11,Armadillo Enchant Scroll,"20,000"
2026-06-11,Berserker Enchant Scroll,"4,444,444"
2026-06-11,Blessed Magic Elixir,"38,000"
2026-06-11,Bloodlust Enchant Scroll,"4,444,444"
2026-06-11,Brutal Enchant Scroll,"999,999"
2026-06-11,Calm Enchant Scroll,"221,500"
2026-06-11,Capture Enchant Scroll,"133,000"
2026-06-11,Challenging Enchant Scroll,"40,000"
2026-06-11,Chaotic Enchant Scroll,"950,000"
2026-06-11,Charging Enchant Scroll,"795,229"
2026-06-11,Chaser's Enchant Scroll,"999,999"
2026-06-11,Clash Enchant Scroll,"4,400,000"
2026-06-11,Concentrated Enchant Scroll,"2,000,000"
2026-06-11,Concerted Enchant Scroll,"100,000"
2026-06-11,Consume Enchant Scroll,"6,500,000"
2026-06-11,Conviction Enchant Scroll,"150,000"
2026-06-11,Cool Enchant Scroll,"804,000"
2026-06-11,Cyclical Enchant Scroll,"8,750,000"
2026-06-11,Dash Enchant Scroll,"80,000"
2026-06-11,Decisive Enchant Scroll,"8,000"
2026-06-11,Diamond Enchant Scroll,"10,000"
2026-06-11,Dignified Enchant Scroll,"999,999"
2026-06-11,Divine Punishment Enchant Scroll,"999,999"
2026-06-11,Echoing Enchant Scroll,"20,000"
2026-06-11,Enmity Enchant Scroll,"5,500,000"
2026-06-11,Fading Enchant Scroll,"200,000"
2026-06-11,Fleet Enchant Scroll,"10,000"
2026-06-11,Force Enchant Scroll,"20,000"
2026-06-11,Forgotten Enchant Scroll,"2,574,564"
2026-06-11,Frenzy Enchant Scroll,"1,599,000"
2026-06-11,Grinding Enchant Scroll,"200,000"
2026-06-11,Heartless Enchant Scroll,"69,500"
2026-06-11,Immoral Enchant Scroll,"50,000"
2026-06-11,Impaling Enchant Scroll,"1,999,500"
2026-06-11,Impending Enchant Scroll,"5,000"
2026-06-11,Infinite Enchant Scroll,"999,999"
2026-06-11,Irate Enchant Scroll,"8,500,000"
2026-06-11,Judgment Enchant Scroll,"9,999,500"
2026-06-11,Kobold Enchant Scroll,"99,500"
2026-06-11,Lament Enchant Scroll,"1,999,999"
2026-06-11,Madness Enchant Scroll,"8,490,000"
2026-06-11,Maelstrom Enchant Scroll,"20,000"
2026-06-11,Magic Elixir,"49,997"
2026-06-11,Magic Elixir of Life,"25,400"
2026-06-11,Magic Powder,"7,685"
2026-06-11,Meaningful Enchant Scroll,"2,000,000"
2026-06-11,Meditating Enchant Scroll,"100,000"
2026-06-11,Memorable Enchant Scroll,"50,000"
2026-06-11,Outburst Enchant Scroll,"400,000"
2026-06-11,Passion Enchant Scroll,"4,500,000"
2026-06-11,Peaceful Enchant Scroll,"80,000"
2026-06-11,Petite Enchant Scroll,"250,000"
2026-06-11,Petrify Enchant Scroll,"300,000"
2026-06-11,Prophetic Enchant Scroll,"7,500,000"
2026-06-11,Quiet Enchant Scroll,"150,000"
2026-06-11,Raging Enchant Scroll,"499,998"
2026-06-11,Resolved Enchant Scroll,"300,000"
2026-06-11,Revenge Enchant Scroll,"3,999,500"
2026-06-11,Righteous Enchant Scroll,"1,200,000"
2026-06-11,Sentinel Enchant Scroll,"75,000"
2026-06-11,Shrewd Enchant Scroll,"9,000,000"
2026-06-11,Significant Enchant Scroll,"600,000"
2026-06-11,Solitude Enchant Scroll,"9,800,000"
2026-06-11,Sorrowful Enchant Scroll,"809,999"
2026-06-11,Space Time Enchant Scroll,"100,000"
2026-06-11,Special Dungeon: Enchant Pouch,"8,650,000"
2026-06-11,Spirited Enchant Scroll,"5,000,000"
2026-06-11,Stern Enchant Scroll,"4,000,000"
2026-06-11,Subdued Enchant Scroll,"75,500"
2026-06-11,Tempestuous Enchant Scroll,"9,876,543"
2026-06-11,The Dead Enchant Scroll,"300,000"
2026-06-11,Truth Enchant Scroll,"800,000"
2026-06-11,Valor Enchant Scroll,"4,444,444"
2026-06-11,Vehement Enchant Scroll,"600,000"
2026-06-11,Victorious Enchant Scroll,"12,000,000"
2026-06-11,Weeping Enchant Scroll,"5,000"
2026-06-11,Well-Balanced Enchant Scroll,"2,222,222"
2026-06-11,Advent Enchant Scroll,"20,533,034"
2026-06-11,Adversarial Enchant Scroll,"26,420,740"
2026-06-11,Amplified Enchant Scroll,"24,444,444"
2026-06-11,Ancient Enchant Scroll,"10,500,000"
2026-06-11,Bountiful Enchant Scroll,"35,000,000"
2026-06-11,Chaser's Enchant Scroll,"30,500,000"
2026-06-11,Concentrated Enchant Scroll,"14,999,999"
2026-06-11,Dignified Enchant Scroll,"25,000,000"
2026-06-11,Enmity Enchant Scroll,"35,000,000"
2026-06-11,Escalating Enchant Scroll,"29,999,500"
2026-06-11,Eternal Enchant Scroll,"22,800,000"
2026-06-11,Executing Enchant Scroll,"79,750,000"
2026-06-11,Fading Enchant Scroll,"10,000,000"
2026-06-11,Fate Enchant Scroll,"432,123,456"
2026-06-11,Fighting Spirit Enchant Scroll,"29,992,148"
2026-06-11,Forgotten Enchant Scroll,"17,777,777"
2026-06-11,Frenzy Enchant Scroll,"25,000,000"
2026-06-11,Hollow Enchant Scroll,"48,880,000"
2026-06-11,Indomitable Enchant Scroll,"16,000,000"
2026-06-11,Instant Enchant Scroll,"22,000,000"
2026-06-11,Irate Enchant Scroll,"12,222,222"
2026-06-11,Lament Enchant Scroll,"25,000,000"
2026-06-11,Madness Enchant Scroll,"41,999,999"
2026-06-11,Mystic Enchant Scroll,"58,888,888"
2026-06-11,Praise Enchant Scroll,"32,000,000"
2026-06-11,Raging Enchant Scroll,"20,000,000"
2026-06-11,Irate Enchant Scroll,"8,500,000"
2026-06-11,Reflection Enchant Scroll,"30,500,000"
2026-06-11,Revenge Enchant Scroll,"45,000,000"
2026-06-11,Stylish Enchant Scroll,"12,869,616"
2026-06-11,Tragic Enchant Scroll,"39,999,500"
2026-06-11,Transcendent Enchant Scroll,"18,790,000"
2026-06-11,Trial Enchant Scroll,"27,777,777"
2026-06-11,Veiled Enchant Scroll,"17,555,555"
2026-06-11,Wave Enchant Scroll,"50,777,777"
2026-06-11,Withered Enchant Scroll,"25,000,000"
2026-06-11,Blue Kitty Brooch,"1,892,100"
2026-06-11,Blue Kitty Necklace,"41,500"
2026-06-11,Brilliant Kitty Necklace,"24,410,000"
2026-06-11,Copper Bracelet,"22,000"
2026-06-11,Eriu Book,"65,000,000"
2026-06-11,Fallen One's Rusty Rhod Compass,"22,000,000"
2026-06-11,Fallen One's Shiny Rhod Compass,"153,000,000"
2026-06-11,Gold Bracelet,"22,222,222"
2026-06-11,Gray Twilight Brooch,"18,999,999"
2026-06-11,Kitty Brooch,"99,123"
2026-06-11,Kitty Necklace,"80,000"
2026-06-11,Leather Bracelet,"150,000"
2026-06-11,Lord's Glowing Obsidian Bracelet,"690,000,000"
2026-06-11,Lord's Obsidian Bracelet,"395,000,000"
2026-06-11,Moonlight Sapphire Brooch,"2,100,000"
2026-06-11,Red Kitty Necklace,"777,777"
2026-06-11,Red Moon Brooch,"25,000,000"
2026-06-11,Roots of Abundance,"100,000,000"
2026-06-11,Sanctuary Earrings,"12,331,522"
2026-06-11,Shrouded Shadow,"17,777,777"
2026-06-11,Silver Bracelet,"100,000"
2026-06-11,Spirited Belt,"5,000,000"
2026-06-11,The Book of Orna,"19,000,000"
2026-06-11,The Sun's Wish,"70,000,000"
2026-06-11,The Watcher's War Goddess Statue,"24,444,333"
2026-06-11,The Watcher's Werewolf Paw,"37,000,000"
2026-06-11,The Watcher's Mysterious Cat Statue,"40,000,000"
2026-06-11,The Watcher's Rusty Mysterious Cat Statue,"4,800,000"
2026-06-11,The Watcher's Rusty Succubus Fang,"5,900,000"
2026-06-11,The Watcher's Rusty War Goddess Statue,"4,500,000"
2026-06-11,The Watcher's Rusty Werewolf Paw,"25,000,000"
2026-06-11,The Watcher's Glowing War Goddess Statue,"100,000,000"
2026-06-11,The Watcher's Glowing Werewolf Paw,"120,000,000"
2026-06-11,Token of Quiet,"66,666,666"
2026-06-11,Token of Silence,"69,999,999"
2026-06-11,Usurper's Shiny Rhod Compass,"20,000,000"
2026-06-11,Usurper's Rhod Compass,"8,800,000"
2026-06-11,Usurper's Rusty Rhod Compass,"4,785,000"
2026-06-11,White Kitty Brooch,"348,100"
2026-06-11,White Kitty Necklace,"800,000"
2026-06-13,Advance Enchant Scroll,"980,000"
2026-06-13,Advent Enchant Scroll,"23,333,333"
2026-06-13,Adversarial Enchant Scroll,"17,999,999"
2026-06-13,Amplified Enchant Scroll,"30,000,000"
2026-06-13,Ancient Enchant Scroll,"5,800,000"
2026-06-13,Barrier Enchant Scroll,"1,000,000"
2026-06-13,Berserker Enchant Scroll,"500,000"
2026-06-13,Blessed Magic Elixir,"36,180"
2026-06-13,Bloodlust Enchant Scroll,"4,500,000"
2026-06-13,Bountiful Enchant Scroll,"38,800,000"
2026-06-13,Brutal Enchant Scroll,"865,432"
2026-06-13,Capture Enchant Scroll,"100,000"
2026-06-13,Chaotic Enchant Scroll,"555,555"
2026-06-13,Charging Enchant Scroll,"800,000"
2026-06-13,Chaser's Enchant Scroll,"689,999"
2026-06-13,Clash Enchant Scroll,"3,488,888"
2026-06-13,Concentrated Enchant Scroll,"7,500,000"
2026-06-13,Concerted Enchant Scroll,"300,000"
2026-06-13,Consume Enchant Scroll,"2,000,000"
2026-06-13,Cool Enchant Scroll,"333,998"
2026-06-13,Dash Enchant Scroll,"30,000"
2026-06-13,Destructive Enchant Scroll,"2,500,000"
2026-06-13,Dignified Enchant Scroll,"1,000,000"
2026-06-13,Divine Punishment Enchant Scroll,"100,000"
2026-06-13,Echoing Enchant Scroll,"20,000"
2026-06-13,Enmity Enchant Scroll,"5,295,888"
2026-06-13,Enthusiastic Enchant Scroll,"50,000"
2026-06-13,Escalating Enchant Scroll,"26,000,000"
2026-06-13,Eternal Enchant Scroll,"20,999,999"
2026-06-13,Executing Enchant Scroll,"89,000,000"
2026-06-13,Fading Enchant Scroll,"1,000,000"
2026-06-13,Fast Enchant Scroll,"2,400,000"
2026-06-13,Fate Enchant Scroll,"425,000,000"
2026-06-13,Fighting Spirit Enchant Scroll,"24,702,148"
2026-06-13,Forgotten Enchant Scroll,"2,200,000"
2026-06-13,Frenzy Enchant Scroll,"791,615"
2026-06-13,Healthy Enchant Scroll,"9,000"
