Seal or Ticket,Total Coupons,Item,Contains,Cost,Stock,Count
Everyday Vending Machine,,Enchant Rune (Gift),Airtight Enchant Rune,30,1,
Everyday Vending Machine,,Premium Armor Enhancement Rune (Gift),Premium Armor Enhancement Rune,15,2,
Everyday Vending Machine,,Tarian Steel,,10,2,
Everyday Vending Machine,,Uaithne Crystal Box,Uaithne Crystal,10,6,
Everyday Vending Machine,,"Keen, Lightweight Eriu Crystal Destiny Box",Keen Eriu Crystal | Lightweight Eriu Crystal,8,3,
Everyday Vending Machine,,Uaithne Only Crystal Destiny Box,Solid Uaithne Crystal | Smooth Uaithne Crystal | Robust Uaithne Crystal | Unrelenting Uaithne Crystal | Keen Uaithne Crystal | Lightweight Uaithne Crystal | Stable Uaithne Crystal | Perfect Uaithne Crystal,8,3,
Everyday Vending Machine,,Uaithne Fragment Destiny Box,Uaithne Fragment: Auxiliary Equipment | Uaithne Fragment: Weapon | Uaithne Fragment: Head Armor | Uaithne Fragment: Chest Armor | Uaithne Fragment: Leg Armor | Uaithne Fragment: Hand Armor | Uaithne Fragment: Feet Armor,8,3,
Everyday Vending Machine,,Superior Element Stone Box,Superior Element Stone,8,3,
Everyday Vending Machine,,Rune Rune! Box,Unstable Enhancement Rune & Airtight Unstable Enchant Rune (x1),8,5,
Everyday Vending Machine,,Brynn Elixir Box,,6,3,
Everyday Vending Machine,,Mysterious Shard Grade 3,,5,8,
Everyday Vending Machine,,Abyssal Shard Grade 3,,5,8,
Everyday Vending Machine,,Sealed Power: Fragments,,5,8,30
Everyday Vending Machine,,Enhanced/New Era Materials Destiny Box,Enhanced New Era Ore x10 + Enhanced New Era Cloth x10 + Enhanced New Era Leather x10 + Enhanced New Era Orb x10,5,8,
Everyday Vending Machine,,Resenlian's Battle Completion Scroll,,4,8,
Everyday Vending Machine,,Redeemers Seal Box,Redeemers Seal x2 + Departure License: Redeemers,3,3,
Everyday Vending Machine,,AP 500 Capsule,,3,10,
Everyday Vending Machine,,"Goddess Grace (Party, Binding)",,3,30,
Everyday Vending Machine,,Divine Blessing Stone (Binding),,3,30,
Everyday Vending Machine,,Exquisite HP Potion,,1,50,3
Mysterious Raid Cube Fragments,60,Stable Uaithne Crystal Cube,Uaithne Crystal x3,40,,
Mysterious Raid Cube Fragments,,Unstable Uaithne Crystal Cube,Uaithne Crystal x2-4,40,,
Mysterious Raid Cube Fragments,,Stable Mysterious Shard Grade 3 Cube,Mysterious Shard Grade 3 x3,20,,
Mysterious Raid Cube Fragments,,Unstable Mysterious Shard Grade 3 Cube,Mysterious Shard Grade 3 x2-4,20,,
Mysterious Raid Cube Fragments,,Stable Abyssal Shard Grade 3 Cube,Abyssal Shard Grade 3 x3,20,,
Mysterious Raid Cube Fragments,,Unstable Abyssal Shard Grade 3 Cube,Abyssal Shard Grade 3 x2-4,20,,
Mysterious Raid Cube Fragments,,Stable Superior Enhancement Elixir Cube,Superior Enhancement Elixir x5,4,,
Mysterious Raid Cube Fragments,,Unstable Superior Enhancement Elixir Cube,Superior Enhancement Elixir x4-6,4,,
Mysterious Raid Cube Fragments,,Enhanced Stable New Era Cube,Enhanced New Era Ore x7 & Enhanced New Era Cloth x7 & Enhanced New Era Leather x7 & Enhanced New Era Orb x7,3,,
Mysterious Raid Cube Fragments,,Enhanced Unstable New Era Cube,Enhanced New Era Ore x5-9 & Enhanced New Era Cloth x5-9 & Enhanced New Era Leather x5-9 & Enhanced New Era Orb x5-9,3,,
Mysterious Raid Cube Fragments,,Stable New Era Cube,New Era Cloth x10 & New Era Leather x10 & New Era Ore x10 & New Era Stone x10 & New Era Orb x10,2,,
Mysterious Raid Cube Fragments,,Unstable New Era Cube,New Era Cloth x7-13 & New Era Leather x7-13 & New Era Ore x7-13 & New Era Stone x7-13 & New Era Orb x7-13,2,,
Mysterious Raid Cube Fragments,,Stable Exquisite HP Potion Cube,Exquisite HP Potion x7,1,,
Mysterious Raid Cube Fragments,,Unstable Exquisite HP Potion Cube,Exquisite HP Potion x5-9,1,,
